epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,5811.87,1.11651,0.67478,0.00736,0.89496,0.83256,0.89764,0.53912,1.41777,0.72125,0.01139,0.0008912,0.0008912,0.0008912
86,5877.52,1.11463,0.66445,0.0072,0.90934,0.81569,0.8956,0.54161,1.42435,0.71194,0.01147,0.000878,0.000878,0.000878
87,5946.61,1.10966,0.65845,0.00728,0.91636,0.81787,0.89758,0.5423,1.41707,0.71614,0.01128,0.0008648,0.0008648,0.0008648
88,6017.5,1.11255,0.65867,0.00715,0.92494,0.81597,0.89907,0.54007,1.43506,0.70463,0.0116,0.0008516,0.0008516,0.0008516
89,6088.45,1.0988,0.64972,0.00727,0.91236,0.83214,0.89834,0.54716,1.41758,0.71327,0.01141,0.0008384,0.0008384,0.0008384
90,6164.72,1.0897,0.64574,0.00696,0.90865,0.82648,0.89618,0.54275,1.42202,0.72884,0.01132,0.0008252,0.0008252,0.0008252
91,6235.2,1.08359,0.64004,0.00706,0.90501,0.83298,0.89696,0.546,1.41651,0.73205,0.01121,0.000812,0.000812,0.000812
92,6301.42,1.08499,0.63435,0.00701,0.91248,0.82539,0.89907,0.54829,1.40215,0.71993,0.01108,0.0007988,0.0007988,0.0007988
93,6371.68,1.08466,0.63126,0.00704,0.90848,0.82623,0.8935,0.54319,1.40824,0.7285,0.01119,0.0007856,0.0007856,0.0007856
94,6438.05,1.0781,0.6306,0.00709,0.90559,0.83298,0.89755,0.54365,1.41972,0.72613,0.01132,0.0007724,0.0007724,0.0007724
95,6504.62,1.06964,0.62655,0.00686,0.91827,0.81982,0.89444,0.54444,1.4191,0.71902,0.01143,0.0007592,0.0007592,0.0007592
96,6571.07,1.06964,0.61931,0.00686,0.91,0.82708,0.89428,0.54505,1.41965,0.73491,0.01135,0.000746,0.000746,0.000746
97,6637.41,1.07048,0.62756,0.00693,0.91472,0.82244,0.89599,0.54823,1.41042,0.69365,0.01121,0.0007328,0.0007328,0.0007328
98,6703.45,1.05653,0.6256,0.00693,0.92027,0.81738,0.89542,0.54704,1.41826,0.71317,0.01135,0.0007196,0.0007196,0.0007196
